date,goals,assist,yellow,red,plyr
12.0/2004,0.0,0.0,0,0,0.8666666666666667
5.0/2005,0.0,0.0,0,0,0.0
8.0/2005,0.0,0.0,0,0,0.0
9.0/2005,0.0,0.0,0,0,0.125
10.0/2005,0.0,0.0,1,0,0.10404040404040404
11.0/2005,0.0,0.0,0,0,0.0
12.0/2005,0.0,0.0,0,0,0.0
1.0/2006,0.0,0.0,0,1,0.23333333333333334
2.0/2006,0.0,0.0,0,0,0.3333333333333333
3.0/2006,0.0,0.0,0,0,0.5
4.0/2006,0.0,0.0,0,0,0.0
5.0/2006,0.0,0.0,0,0,0.0
7.0/2006,0.0,0.0,0,0,0.0
8.0/2006,0.0,0.0,0,0,0.0
9.0/2006,0.0,0.0,0,0,0.0
10.0/2006,0.0,0.0,0,0,0.37333333333333335
11.0/2006,0.0,0.0,0,0,0.0
12.0/2006,0.0,0.0,0,0,0.0
1.0/2007,0.0,0.0,1,0,0.6666666666666666
2.0/2007,0.0,0.0,0,0,1.0
3.0/2007,0.0,0.0,0,0,1.0
4.0/2007,0.0,0.0,0,0,1.0
5.0/2007,0.0,0.0,0,0,1.0
6.0/2007,0.0,0.0,1,0,1.0
8.0/2007,0.0,0.0,0,0,0.25
9.0/2007,0.0,0.0,0,0,0.2688888888888889
10.0/2007,0.0,1.0,0,0,1.0
11.0/2007,0.0,0.0,0,0,0.5
12.0/2007,0.0,0.0,0,0,0.020634920634920634
1.0/2008,0.0,0.0,0,0,0.7365079365079366
2.0/2008,0.0,0.0,0,0,0.0
3.0/2008,0.0,0.0,0,0,1.0
4.0/2008,0.0,0.0,0,0,0.9916666666666667
5.0/2008,0.0,0.0,1,0,0.8666666666666667
8.0/2008,0.0,1.0,0,0,0.45555555555555555
9.0/2008,0.0,0.0,0,0,0.0
10.0/2008,0.0,0.0,0,0,0.37222222222222223
11.0/2008,0.0,0.0,0,0,0.9488888888888889
12.0/2008,0.0,1.0,1,0,0.6933333333333334
1.0/2009,0.0,1.0,0,0,0.8
2.0/2009,0.0,0.0,0,0,1.0
3.0/2009,0.0,0.0,0,0,1.0
4.0/2009,0.0,0.0,0,0,0.3277777777777778
5.0/2009,0.0,0.0,0,0,0.09166666666666666
8.0/2009,0.0,1.0,0,0,1.0
9.0/2009,0.0,0.0,1,0,0.8333333333333334
10.0/2009,0.0,0.0,0,0,0.75
11.0/2009,0.0,0.0,0,0,1.0
12.0/2009,0.0,1.0,0,0,0.9814814814814815
1.0/2010,0.0,1.0,1,0,0.5462962962962963
2.0/2010,0.0,0.0,0,0,0.0
3.0/2010,1.0,0.0,1,0,0.5333333333333333
4.0/2010,0.0,1.0,0,0,0.75
5.0/2010,0.0,0.0,0,0,0.0
8.0/2010,0.0,0.0,0,0,0.75
9.0/2010,0.0,0.0,1,0,0.75
10.0/2010,0.0,0.0,0,0,0.8
11.0/2010,0.0,0.0,1,0,1.0
12.0/2010,0.0,1.0,1,0,0.75
1.0/2011,0.0,0.0,0,0,0.8
2.0/2011,0.0,1.0,1,0,1.0
3.0/2011,0.0,0.0,0,0,0.36666666666666664
4.0/2011,0.0,0.0,0,0,0.75
5.0/2011,0.0,1.0,1,0,1.0
8.0/2011,0.0,0.0,0,0,0.75
9.0/2011,0.0,1.0,0,0,0.75
10.0/2011,0.0,1.0,0,0,0.8
11.0/2011,0.0,0.0,0,0,1.0
12.0/2011,0.0,0.0,0,0,1.0
1.0/2012,0.0,0.0,2,0,0.7930555555555555
2.0/2012,0.0,0.0,0,0,0.8333333333333334
3.0/2012,0.0,0.0,1,0,1.0
4.0/2012,0.0,0.0,0,0,0.6648148148148149
5.0/2012,0.0,0.0,0,0,0.31666666666666665
